region,year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
East Asia & Pacific,1960,342164907.00,130716204.00,196711989.00,14672464.00,,0.00
East Asia & Pacific,1961,350042662.00,134263647.00,200630608.00,15082498.00,,
East Asia & Pacific,1962,358199707.00,137595156.00,205037042.00,15499666.00,,
East Asia & Pacific,1963,366508976.00,140761586.00,209761930.00,15915551.00,,
East Asia & Pacific,1964,374977012.00,143933931.00,214640438.00,16330569.00,,
East Asia & Pacific,1965,383666348.00,147225024.00,219619583.00,16747512.00,,0.00
East Asia & Pacific,1966,392369250.00,150642811.00,224358857.00,17291257.00,,
East Asia & Pacific,1967,401254496.00,154152959.00,229199372.00,17823762.00,,
East Asia & Pacific,1968,410408582.00,157705100.00,234260575.00,18362428.00,,
East Asia & Pacific,1969,419787161.00,161162013.00,239628106.00,18914421.00,,
East Asia & Pacific,1970,429287336.00,164443153.00,245281705.00,19477629.00,,0.00
East Asia & Pacific,1971,440153205.00,168123324.00,251707376.00,20235305.00,,
East Asia & Pacific,1972,450114965.00,171360206.00,257757106.00,20907944.00,,
East Asia & Pacific,1973,460134025.00,174388328.00,264078798.00,21574660.00,,
East Asia & Pacific,1974,470204688.00,177174806.00,270677950.00,22257346.00,,
East Asia & Pacific,1975,479911603.00,179556620.00,277320339.00,22937964.00,,0.00
East Asia & Pacific,1976,489173187.00,181952857.00,283323698.00,23798170.00,,0.00
East Asia & Pacific,1977,498246473.00,183798282.00,289662620.00,24685521.00,,0.00
East Asia & Pacific,1978,507287064.00,185287235.00,296317094.00,25580978.00,,0.00
East Asia & Pacific,1979,516596636.00,186742287.00,303298983.00,26451253.00,,0.00
East Asia & Pacific,1980,526056525.00,188268123.00,310415342.00,27265646.00,,0.00
East Asia & Pacific,1981,535911974.00,189436942.00,318167521.00,28195785.00,,13275.00
East Asia & Pacific,1982,545991122.00,190942118.00,325882254.00,29049802.00,,19804.00
East Asia & Pacific,1983,556133503.00,192512960.00,333631464.00,29866116.00,,27198.00
East Asia & Pacific,1984,566200330.00,193751063.00,341613157.00,30706472.00,,43142.00
East Asia & Pacific,1985,576169691.00,194487725.00,349927054.00,31618096.00,,68229.00
East Asia & Pacific,1986,586080148.00,195512033.00,357777839.00,32645715.00,,128390.00
East Asia & Pacific,1987,595993463.00,195883114.00,366214374.00,33743223.00,,225525.00
East Asia & Pacific,1988,605839653.00,195846886.00,374927709.00,34904234.00,,420843.00
East Asia & Pacific,1989,615675473.00,195864650.00,383519502.00,36123293.00,,861832.00
East Asia & Pacific,1990,625335423.00,196133921.00,391644138.00,37383524.00,,1544709.00
East Asia & Pacific,1991,635091649.00,196530139.00,399568324.00,38815218.00,,2500963.00
East Asia & Pacific,1992,644619741.00,197246523.00,406939123.00,40253482.00,,3495450.00
East Asia & Pacific,1993,653986695.00,198090400.00,413995538.00,41718376.00,,4852549.00
East Asia & Pacific,1994,663281018.00,198685654.00,421170874.00,43240328.00,,9098743.00
East Asia & Pacific,1995,672449786.00,198812293.00,428621027.00,44829902.00,,20196106.00
East Asia & Pacific,1996,681720191.00,199041581.00,435923727.00,46565043.00,,41454294.00
East Asia & Pacific,1997,690613150.00,198661648.00,443436092.00,48321692.00,,60147534.00
East Asia & Pacific,1998,699325495.00,197851460.00,451160198.00,50115996.00,67000.00,78766219.00
East Asia & Pacific,1999,707726262.00,196926184.00,458690398.00,51908014.00,610467.00,105061176.00
East Asia & Pacific,2000,716102864.00,196157139.00,466023741.00,53717132.00,5250494.00,131715191.00
East Asia & Pacific,2001,724497378.00,195806113.00,472942259.00,55541696.00,12704775.00,161985744.00
East Asia & Pacific,2002,732626435.00,195692747.00,479423675.00,57300819.00,21513779.00,195200147.00
East Asia & Pacific,2003,740499321.00,195704776.00,485598523.00,58985580.00,28663545.00,226524389.00
East Asia & Pacific,2004,748178886.00,195644386.00,491740294.00,60583168.00,35452764.00,272323790.00
East Asia & Pacific,2005,755754357.00,195414312.00,497985373.00,62143681.00,41732662.00,314697632.00
East Asia & Pacific,2006,763608420.00,194630631.00,504783923.00,63983612.00,50209425.00,368283179.00
East Asia & Pacific,2007,771377135.00,193875528.00,511530955.00,65761801.00,55688819.00,473858165.00
East Asia & Pacific,2008,779540234.00,193262808.00,518504758.00,67565488.00,62573622.00,585347838.00
East Asia & Pacific,2009,787479689.00,192807880.00,525063334.00,69402706.00,70029561.00,660602283.00
East Asia & Pacific,2010,795440414.00,192624421.00,531246193.00,71364902.00,73086425.00,754699061.00
East Asia & Pacific,2011,803371634.00,192616157.00,537006121.00,73544623.00,79159617.00,852088199.00
East Asia & Pacific,2012,811447261.00,192816776.00,542556734.00,75868547.00,82855285.00,926312701.00
East Asia & Pacific,2013,819467814.00,193124762.00,547848160.00,78288801.00,86286379.00,972436250.00
East Asia & Pacific,2014,827543133.00,193410090.00,553141460.00,80784419.00,90115843.00,1025542841.00
East Asia & Pacific,2015,835501439.00,193561023.00,558395662.00,83336586.00,95506183.00,1040567681.00
East Asia & Pacific,2016,843363666.00,194002824.00,563116415.00,86035355.00,101396283.00,1117148014.00
East Asia & Pacific,2017,850970560.00,194112284.00,567875513.00,88772788.00,107920787.00,1175833344.00
East Asia & Pacific,2018,858442795.00,194026916.00,572602581.00,91602442.00,115452389.00,1108976961.00
East Asia & Pacific,2019,865746489.00,193934366.00,577010561.00,94589826.00,124311879.00,1184822708.00
East Asia & Pacific,2020,872424065.00,193850074.00,580671330.00,97689998.00,133914783.00,1181281211.00
