year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
1960,30945383405.00,11770898851.00,17740228363.00,1419878892.00,,0.00
1961,31353506331.00,11989953926.00,17897335847.00,1451558916.00,,
1962,31910116379.00,12284090086.00,18127130361.00,1483847946.00,,
1963,32601631410.00,12629818818.00,18438788044.00,1517585410.00,,
1964,33298712504.00,12949336480.00,18783768487.00,1549776386.00,,
1965,34013032169.00,13237529519.00,19177666495.00,1581610037.00,,0.00
1966,34764917974.00,13568444555.00,19544892961.00,1634961730.00,,
1967,35514764369.00,13848903988.00,19960801715.00,1688033183.00,,
1968,36282842348.00,14103196021.00,20420975051.00,1741250749.00,,
1969,37078537544.00,14359474169.00,20906781466.00,1794466479.00,,
1970,37891427721.00,14625405234.00,21400818839.00,1846993229.00,,0.00
1971,38731041592.00,14927589022.00,21872989532.00,1911866861.00,,
1972,39555304260.00,15213469280.00,22348913086.00,1973903054.00,,
1973,40378311604.00,15487154494.00,22837456113.00,2034272649.00,,
1974,41196633916.00,15738189425.00,23344522763.00,2094072606.00,,
1975,42001056515.00,15956583268.00,23870641671.00,2153574707.00,,0.00
1976,42797461156.00,16174541342.00,24376556706.00,2225682674.00,,0.00
1977,43589252147.00,16360563474.00,24909888450.00,2297708916.00,,0.00
1978,44394841462.00,16526237947.00,25478845023.00,2368254539.00,,0.00
1979,45220086596.00,16682718300.00,26081741639.00,2433693919.00,,0.00
1980,46055692912.00,16834324613.00,26707529741.00,2491484605.00,,187856.00
1981,46913849288.00,16997671704.00,27340289351.00,2553101552.00,,458428.00
1982,47807388332.00,17176604761.00,28001583963.00,2605991740.00,,711250.00
1983,48711794434.00,17358639035.00,28675863560.00,2653634530.00,,1029976.00
1984,49615939350.00,17536073982.00,29354054759.00,2701683167.00,,2115796.00
1985,50537896994.00,17716488415.00,30042154046.00,2754622436.00,,4808691.00
1986,51486910455.00,17965137412.00,30673748426.00,2822876007.00,,9288361.00
1987,52461560570.00,18213650591.00,31328241939.00,2893979875.00,,16255299.00
1988,53447173644.00,18459341598.00,31993674965.00,2967901127.00,,27591844.00
1989,54431964410.00,18694943704.00,32665251181.00,3044977734.00,,46684512.00
1990,55429874190.00,18922059226.00,33354531693.00,3125982145.00,,71955816.00
1991,56405748583.00,19189682670.00,33969611752.00,3218652855.00,,105697366.00
1992,57354211146.00,19394333850.00,34616558688.00,3315055738.00,,152644546.00
1993,58304912689.00,19563799708.00,35299399208.00,3413008050.00,,228351904.00
1994,59245804422.00,19719742978.00,35989256746.00,3507670206.00,,378787988.00
1995,60185262558.00,19875429583.00,36682914685.00,3597354163.00,,631353374.00
1996,61112819870.00,19969115767.00,37410129906.00,3703604422.00,,1025659997.00
1997,62038734864.00,20096989021.00,38111315200.00,3800090902.00,,1572794045.00
1998,62955828498.00,20226412921.00,38809232711.00,3891237976.00,1859688.00,2377858882.00
1999,63861356581.00,20312497612.00,39538930475.00,3983381979.00,7495259.00,3781170490.00
2000,64760797124.00,20340528787.00,40314721941.00,4079688238.00,79564319.00,5913618783.00
2001,65656952456.00,20406929210.00,41037202360.00,4186883086.00,226612740.00,8000630319.00
2002,66552817429.00,20412673755.00,41816748272.00,4297372227.00,435747541.00,10005884372.00
2003,67452788973.00,20384993071.00,42634045470.00,4407638958.00,723191831.98,12507754505.00
2004,68358880400.00,20370951824.00,43451484648.00,4510247809.00,1168330107.00,16085989943.00
2005,69271823395.00,20395568592.00,44247720498.00,4602266762.00,1668706516.00,20766280363.00
2006,70191932195.00,20460598908.00,44998721048.00,4706134453.00,2219776903.00,26483787189.00
2007,71118201702.00,20557690696.00,45732722138.00,4801110262.00,2837037662.00,33118980065.00
2008,72059024866.00,20683690719.00,46454632836.00,4893829590.00,3421493877.00,40350800552.00
2009,73003866809.00,20819380151.00,47165917351.00,4991505894.00,4007582881.00,46904700680.00
2010,73952161662.00,20955024729.00,47870349104.00,5099536581.00,4568983694.00,54094408292.00
2011,74907377203.00,21114663638.00,48535822952.00,5229444001.00,5234324494.00,60618795881.00
2012,75897414399.00,21274774631.00,49224370516.00,5370609260.00,5740909723.00,64897749953.00
2013,76902384758.00,21435936755.00,49914252996.00,5524380972.00,6150268640.00,69490000421.00
2014,77910620148.00,21598560221.00,50589089198.00,5695200594.00,6521481859.00,73160856300.00
2015,78916920405.00,21761599351.00,51241690023.00,5886132695.00,7697255990.00,75227914623.08
2016,79927585952.00,21933326944.00,51856402252.00,6110461099.00,8496074193.00,78637838394.00
2017,80941863102.00,22101979357.00,52460084005.00,6352216355.00,9656350345.00,81325490249.00
2018,81934806999.00,22260355701.00,53043550090.00,6603214623.00,10089927130.00,82614860333.00
2019,82907215551.00,22404259727.00,53621286999.00,6854047218.00,10862123749.00,86928651643.00
2020,83865774745.00,22531780666.00,54204722337.00,7101602514.00,11763420319.00,87719765157.00
2021,84767584144.00,22651204472.00,54743162803.00,7345322337.00,,
